_id,country,Population,date,NewCases,TotalCases,NewDeaths,TotalDeaths
6003dae2034604851cde923e,Mexico,127576000,1/2/21,6359,1443544,344,126851
6003dae2034604851cde923f,Mexico,127576000,1/3/21,5211,1448755,362,127213
6003dae2034604851cde9240,Mexico,127576000,1/4/21,6464,1455219,544,127757
6003dae2034604851cde9241,Mexico,127576000,1/5/21,11271,1466490,1065,128822
6003dae2034604851cde9242,Mexico,127576000,1/6/21,13345,1479835,1165,129987
6003dae2034604851cde9243,Mexico,127576000,1/7/21,13734,1493569,1044,131031
6003dae2034604851cde9244,Mexico,127576000,1/8/21,14362,1507931,1038,132069
6003dae2034604851cde9245,Mexico,127576000,1/9/21,16105,1524036,1135,133204
6003dae2034604851cde9246,Mexico,127576000,1/10/21,10003,1534039,502,133706
6003dae2034604851cde9247,Mexico,127576000,1/11/21,7594,1541633,662,134368
6003dae2034604851cde9248,Mexico,127576000,1/12/21,14395,1556028,1314,135682
6003dae2034604851cde9249,Mexico,127576000,1/13/21,15873,1571901,1235,136917
6003dae2034604851cde924a,Mexico,127576000,1/14/21,16468,1588369,999,137916
6003dae2034604851cde924b,Mexico,127576000,1/15/21,21366,1609735,1106,139022
6003dae2034604851cde924c,Mexico,127576000,1/16/21,20523,1630258,1219,140241